PM10,predicted_aqi_actual,predicted_aqi_predicted,actual_aqi_bucket,predicted_aqi_bucket
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,90.17,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
81.0,84.75,91.86,Moderate,Moderate
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
125.0,175.64,224.08,Unhealthy,Very Unhealthy
